size,product,bad_winograd,good_winograd
100,39.33352950,21.84159700,18.13774250
200,191.06879950,183.80495450,154.97888150
300,643.15356100,633.46189000,525.78953000
400,1648.43648550,1662.16656000,1374.16655050
500,3516.70210600,3389.16216450,2932.47787900
600,6132.82750350,6010.69887450,4984.55201700
700,9777.77753600,9541.70957550,7983.47457400
800,14795.68465900,14814.81216150,12807.17200350
900,21514.64538100,21362.82759250,17893.11289600
1000,30421.01086100,30058.90910500,25223.32126700
